code,dept,number,name,credits,semester,prereqs,description
CS4770,CS,4770,Software Architecture,3.0,Spring,CS3425,"Software architecture and concerns; quality attributes, metrics, critical components of architectures, the use of packages, build tools and techniques, and cloud architectures."
CS4791,CS,4791,Senior Software Engineering Project I,3.0,"Fall, Spring",CS3712 and CS4760,"A capstone project course. Using software engineering principles and techniques, students work as part of a team responsible for developing a quality software project."
CS4792,CS,4792,Senior Software Engineering Project II,3.0,"Fall, Spring",CS4791,"A continuation of the capstone project experience, intended for Software Engineering majors."
CS4801,CS,4801,Foundations of Machine Learning,3.0,Fall,DATA2201 and (MA2710 or MA2720 or MA3710 or MA3720),"The course covers classical statistical machine learning. Topics include classification (k-nearest neighbors, decision trees, random forests, logistic regression, naive bayes, neural networks), regression, clustering (partitional and hierarchical clustering), and evaluation."
CS4811,CS,4811,Artificial Intelligence,3.0,"Fall, Spring, Summer",CS2311 and CS2321 and (CS3411 or CS3421 or CS3425 or CS3331) and MA3720,"Fundamental ideas and techniques that are used in the construction of problem solvers that use Artificial Intelligence technology. Topics include knowledge representation and reasoning, problem solving, heuristics, search heuristics, inference mechanisms, and machine learning."
CS4821,CS,4821,Data Mining,3.0,Spring,(CS3425 or MIS3100 or SAT3210) and (MA2330 or MA2320 or MA2321) and (MA2710 or MA2720 or MA3710),"Data mining focuses on extracting knowledge from large data sources. The course covers data mining concepts, methodology (measurement, evaluation, visualization), algorithms (classification/regression, clustering, association rules) and applications (web mining, recommender systems, bioinformatics)."
DATA1000,DATA,1000,Explorations in Data Science,1.0,Fall,,"This course introduces data science concepts using real-world examples and applications. Topics include the data science lifecycle, forming data science questions, data privacy, ethics, and more."
DATA1100,DATA,1100,Practical Data Science Tools,1.0,Fall,,"Introduces students to working in Linux environments and at the command line. Topics include shell commands, piping, shell scripting, working with git, markdown, familiarity with code editors. Additional topics may include LaTeX and data cleaning tools."
DATA1200,DATA,1200,Data Science with Python,3.0,Spring,MA1030(C) or MA1031(C) or MA1032(C) or MA1160(C) or MA1161(C),"The course introduces data science topics including inferential and computational thinking using Python. Topics include table operations, functions, control structures, visualization, sampling, and inference"
DATA2201,DATA,2201,Foundations of Data Science,3.0,Fall,(DATA1202 or DATA1200) and ((CS1122 or CS1131) or (CS2311 and CS2321)) and (MA2320(C) or MA2330(C) or MA2321(C)),Introduces data science technologies and methods that provide a foundation for subsequent Data Science classes. Topics covered include working with data and applied linear algebra in standard numerical computing libraries.
DATA4991,DATA,4991,Data Science Project,3.0,On Demand,,A capstone project course. Students will use data science methods and tools to analyze and report out on real-world projects.
EC2001,EC,2001,Principles of Economics,3.0,"Fall, Spring, Summer",MA1020 or MA1030 or MA1031 or MA1032 or MA1120 or MA1135(C) or MA1160(C) or MA1161(C) or MA1121(C) or ALEKS Math Placement >= 61 or CEEB Calculus AB >= 2 or CEEB Calculus BC >= 2 or ACT Mathematics >= 22 or SAT MATH SECTION SCORE-M16 >= 540,"An introduction to economics.  The microeconomics portion covers consumer choice, the firm, value and price theory, and distribution theory.  The macroeconomics portion covers national income analysis, fiscal policy, money and monetary policy, the commercial banking system, and the Federal Reserve System."
EC3002,EC,3002,Microeconomic Theory,3.0,Spring,EC2001 and (MA1135 or MA1160 or MA1161 or MA1121),"The study of consumer and producer choices, market demand and supply, and market structures."
EC3003,EC,3003,Macroeconomic Theory,3.0,Fall,EC2001 and (MA1135 or MA1160 or MA1121 or MA1161),"Analysis of the determinants of the level of output, employment, prices, and economic growth with an emphasis on fiscal policy and monetary policy."
EC3100,EC,3100,International Economics,3.0,"Fall, Spring, Summer",EC2001,"Introduction to international economics, including balance  of payments, accounting, foreign exchange markets,  international trade theory, barriers to trade, trade and  development, regional economic integration, and current  U.S. international economic issues."
EC3300,EC,3300,Industrial Organization,3.0,Fall,EC2001,"Economic analysis of market power and industry structure.  Topics include the goals of public policy toward business,  antitrust policy, economic regulation, public enterprise,  and social regulation of health, safety, and the  environment. "
EC3400,EC,3400,Economic Decision Analysis,3.0,"Fall, Spring, Summer",,"Studies economic decision-making for actions occurring over time.  Covers decision tools for comparing alternatives, public project evaluation, risk and uncertainty, mutually exclusive decisions, multiple objective decisions, interest rate calculations, cash flow analysis, depreciation and taxes, cost of capital, capital budgeting."
EC4000,EC,4000,Senior Seminar in Economics,3.0,On Demand,,A senior capstone seminar in which students discuss and  conduct research under the guidance of several faculty  members.
EC4050,EC,4050,Game Theory/Strategic Behavior,3.0,"Fall, Spring",,"The study of strategic situations involving the  interactions of individuals. Modeling techniques are  applied to game situations faced in business,  entertainment, politics, and the daily routine of life."
EC4100,EC,4100,Mathematical Economics,3.0,"Spring, in odd years",EC2001 and (MA1160 or MA1161 or MA1121 or MA1135),"Application of the principal mathematical techniques used in economic theory and modeling. Topics include optimization, marginal analysis, comparative statics, and other applications."
EC4200,EC,4200,Econometrics,3.0,Fall,(EC2001 or EC3002 or EC3003) and (BUS2100 or MA2710 or MA2720 or MA3710) and (MA1135 or MA1160 or MA1161 or MA1121),"Introduces techniques and procedures to estimate and test  economic and financial relationships developed in business,  economics, social and physical sciences."
EC4400,EC,4400,Banking and Financial Institutions,3.0,Fall,(EC3003 or FIN3000),Analysis of asset and liability management of financial  institutions and the role of financial institutions in the  U.S. and international economy.
EC4500,EC,4500,Public Sector Economics,3.0,On Demand,EC2001,"Economic analysis of how democratic governments generate  revenue (primarily taxation) and make expenditure decisions  and how such decisions impact the welfare of individuals. Topics include market failures, voting processes, income  redistribution programs, efficiency and incidence of  taxation."
EC4620,EC,4620,Energy Economics,3.0,"Fall, in odd years",EC2001,"Introduction to the institutional, technical, and economic  issues of the production and use of energy resources,  including petroleum, natural gas, coal, nuclear, electric  utilities, and alternative energy. Coursework applies economic analysis to supply, distribution, and use of energy resources, including environmental and social consequences."
EC4630,EC,4630,Mineral Industry Economics,3.0,On Demand,EC2001,"Studies the role of minerals and metals in society and the economics of their use. Applies economic principles to examine the supply, demand, markets, and foreign trade for important minerals and metals. Examines the effect of government policies on the minerals industries. Requires a technical report."
EC4640,EC,4640,Natural Resource Economics,3.0,Fall,EC2001 or EC3002 or FW4080,"Studies the economics of nonrenewable resources (energy and minerals) and renewable resources (water, fisheries, forests and species).  Discusses the economics of land use change, macroeconomic topics such as economic growth, sustainability and green accounting."
EC4650,EC,4650,Market Failure and the Environment,3.0,"Spring, in odd years",EC2001 or EC3002,"Considers the efficient and equitable use of environmental resources, including air, water, land, wilderness and parks, wildlife and other ecological systems. Measures the benefits and costs of decreasing pollution, cleaner environment, and protecting scarce ecological resources.  Addresses market failures and the economic valuation of environmental amenities."
EC4710,EC,4710,Labor/Human Resource Economics,3.0,"Spring, in even years",EC2001,"Economic analysis of labor markets and human resources.  Topics include the supply and demand for labor, wage  determination, human capital theory, returns to education  and training, causes of wage differentials, and economic  effects of discrimination."
EC4900,EC,4900,Research,var,On Demand,EC2001,"Under the general guidance of a faculty member, students  read, conduct research, and prepare reports and papers as  required."
EC4990,EC,4990,Special Topics in Economics,var,On Demand,EC2001,Economic topics of interest to students and faculty.
EE1001,EE,1001,"Introduction to Electrical, Computer, and Robotics Engineering",1.0,Fall,,"Exploration of the fields of electrical, computer, and robotics engineering, including career options, degree programs, and modern industrial trends."
EE2112,EE,2112,Electric Circuits and Lab,4.0,"Fall, Spring, Summer",MA3520 or MA3521 or MA3530 or MA3560,"This course will cover basic electrical concepts, resistive circuits, nodal and loop analysis, superposition, Therenin and Norton equivalents, maximum power transfer, capacitors, inductors, AC analysis, and 1st and 2nd order transient analysis."
EE2174,EE,2174,Digital Logic and Lab,4.0,"Fall, Spring, Summer",CS1121 or CS1131 or CS1111,"Introduces analysis, design, and application of digital logic. Includes Boolean algebra, binary numbers, logic gates, combinational and sequential logic, storage elements and hardware-description-language based synthesis."
EE2180,EE,2180,Introduction to Robotics and Lab,3.0,On Demand,(EE3010(C) or EE2112(C)) and (MA2320(C) or MA2321(C) or MA2330(C)),"Introduces the following topics: robotic actuators, inverse and forward kinematics, control methods, applied statistics, environment mapping, and path finding. Topics will be further explored during hands on and practical lab experiments."
EE2190,EE,2190,Introduction to Photonics,3.0,Spring,MA3521 and PH2200(C),"Topics include basic geometrical and wave optics, fiber optics, lasers, detectors, and optical communication systems."
EE2230,EE,2230,Printed Circuit Seminar Series,3.0,Spring,CH1150 and CH1151,"Seminars and lectures relating to the design, layout, fabrication, and assembly of printed circuits will be presented by instructor as well as industry experts."
EE2231,EE,2231,Printed Circuit Fabrication,1.0,Spring,,"Printed circuit board fabrication techniques are presented and explored utilizing wet-chemical process techniques. Single and multi-layer boards using internal layers for power and ground planes as well as plated feed-through via structures, solder masks and silk screens will be discussed. While hands on fabrication will be the main focus, students will be introduced to software design packages specific to circuit layout and design. Final testing and evaluation of the fabricated boards will be performed."
EE3010,EE,3010,Circuits and Instrumentation for Cyber Physical Systems,3.0,"Fall, Spring, Summer",MA1121 or MA1160 or MA1161,"Designed for nonmajors. Covers the principles of electrical  and electronic measurements, including dc, ac, semiconductor devices, amplifiers, and filtering."
EE3120,EE,3120,Electric Energy Systems,3.0,"Fall, Spring, Summer",EE3010 or EE2112,"An overview of the generation and utilization of electrical  energy. Covers three-phase circuits, transformers,  photovoltaics, batteries, electromechanical energy conversion, and an overview of electric power systems,  including economic issues."
EE3131,EE,3131,Electronics,4.0,"Fall, Spring, Summer",EE2112 or EE3010,"Covers the fundamentals of electronic devices and circuits; operational amplifiers, bipolar junction transistors, diodes, and MOSFETs."
EE3140,EE,3140,Electromagnetics,3.0,"Fall, Spring",PH2200 and MA3160 and (EE2110 or EE2112),Covers basic principles of engineering electromagnetics  with an emphasis on Maxwell's equations.
EE3160,EE,3160,Signals and Systems,3.0,"Fall, Spring, Summer",(EE3010 or EE2112) and (MA2320 or MA2321 or MA2330) and (MA3520 or MA3521 or MA3530 or MA3560),"Introduces the mathematical analysis of signals, systems, and control.  Topics include differential equations, Fourier series, Fourier transforms, LaPlace transforms, frequency response, Bode plots, state models, and an introduction to control systems."
EE3172,EE,3172,Fundamentals of Computer Organization,3.0,"Fall, Spring",EE2174 and CS1142,"Introduction to the fundamental structure and organization of computing systems. Topics include control logic, datapaths, instruction processing, caches, and pipelines. Includes a significant processor implementation project."
EE3174,EE,3174,Introduction to Microcontrollers and Embedded Systems,4.0,"Fall, Spring",EE2174 and (CS1111 or CS1142 or CS1121 or CS1131),"Introduces the concepts of microcontroller-based systems. Describes basic characteristics of microcontrollers and how to program them in C and assembly language. Also discusses I/O devices, synchronization, and bus protocols."
EE3180,EE,3180,Introduction to Probability and Random Signal Analysis,3.0,"Fall, Spring, Summer",EE3160,"Probability density and distribution functions, expected value, correlation, and random vectors. Wide sense stationary random signals. The correlation function and spectral density. Random signals and noise in linear systems. An introduction to hypothesis testing and parameter estimation. Engineering applications."
EE3190,EE,3190,Optical Sensing and Imaging,3.0,Fall,MA3520 or MA3521 or MA3530 or MA3560,"Optical sensing techniques, including imaging and non-imaging systems."
EE3261,EE,3261,Control Systems,3.0,"Fall, Spring",EE3160,"Mathematical formulation of control problems (both transfer function and state-variable descriptions); analysis of feedback control systems (stability, transient performance, steady-state error, sensitivity, etc.); analog and digital simulation; and experiments with physical systems."
EE3280,EE,3280,Robot Operating Systems,3.0,Fall,EE2180 and SAT2711,"An introduction to the robotics middleware enabling robot platforms used in autonomous vehicles and advanced manufacturing. Students will learn the basics of distributed robotics software architecture, hardware considerations and associated simulation tools."
EE3290,EE,3290,"Photonic Material, Devices, and Applications",4.0,Spring,EE3140 or PH2400 or EE2190,"Light wave propagation in optical crystals and fibers, detection, and the creation of light in semiconductors."
EE3373,EE,3373,Introduction to Programmable Controllers,3.0,"Fall, Summer",EE2112 or EE3010,The design of discreet sequential controls using programmable logic controllers (PLCs). Relay logic is used to introduce ladder logic and ladder logic is used to program the PLC. Introduces a structured approach to sequential control design. Data acquisition is introduced using BridgeVIEW software
EE3901,EE,3901,Design Fundamentals,2.0,"Fall, Spring",EE2112 or (EE2180 and EE3010) and UN1015,"The design process; includes team design activities and studies project management, ethics, and professionalism."
EE4000,EE,4000,Undergraduate Research,var,"Fall, Spring, Summer",,An undergraduate research experience during the senior year in electrical or computer engineering.  Students work on an active research project/grant with a faculty member.  A report will be published in the department and archived.
EE4173,EE,4173,Computer System Engineering and Performance,3.0,"Fall, Spring",EE3173,"Covers the principles and practices of modern computer architecture. Emphasizes quantitative performance evaluation of: memory hierarchies, from cache through virtual memory; pipelined processors with advanced hazard management; and combined processor/memory systems. Introduces RAID, superscalars, parallel processing, cache coherence, performance simulation software."
EE4219,EE,4219,Introduction to Electric Machinery and Drives,3.0,Spring,(EE2112 or EE3010) and EE3120,"Provides a thorough understanding of how electric machines can be used to drive loads with control of speed, torque and position. Topics include basic electro-mechanics, rotating machinery, dc machines, ac machines, power electronics and load modeling. Applications include industrial systems, hybrid/electric vehicles and electric power systems."
EE4220,EE,4220,Introduction to Electric Machinery and Drives Laboratory,1.0,Spring,EE4219(C),"Provides a hands on understanding of how electric machines can be used to drive loads with control of speed, torque, and position. Topics include basic electro-mechanics, rotating machineer, dc machines, ac machines, power electronics, and load modeling."
EE4221,EE,4221,Power System Analysis 1,3.0,Fall,EE3120 and (EE2112 or EE3010),"Covers power transmission line parameters and applications, symmetrical components, transformer and load representations, systems faults and protection, and the per unit system."
EE4222,EE,4222,Power System Analysis 2,3.0,Spring,EE4221,Topics covered include symmetrical components; symmetrical faults; unbalanced faults; generating the bus impedance matrix and using it in fault studies; power system protection; power system operation; power system stability.
EE4226,EE,4226,Power Engineering Laboratory,1.0,"Spring, Summer",EE4221 and EE4222(C),"A laboratory based course highlighting single phase and three phase power concepts, including: power factor, single and three phase transformer configurations, non-ideal transformers, synchronous machines, renewable energy, power flow and fault simulations, relay settings and relay testing and calibration."
EE4227,EE,4227,Power Electronics,3.0,"Fall, Summer",EE3120 and (EE3130(C) or EE3131),"Fundamentals of circuits for electrical energy processing. Covers switching converter principles for dc-dc, ac-dc, and dc-ac power conversion. Other topics include harmonics, pulse-width modulation, feedback control, magnetic components and power semiconductors."
EE4228,EE,4228,Power Electronics Lab,1.0,Fall,EE4227(C),"Fundamentals of design, construction and control of circuits for electrical energy processing. Covers switching converter principles for dc-dc, ac-dc, and dc-ac power conversion. Other topics include harmonics, pulse-width modulation, feedback control, magnetic components and power semiconductors."
EE4231,EE,4231,Physical Electronics,3.0,"Fall, Spring",EE3130 or EE3131,"Device physics and physical models of the most basic  solid-state device structures. Major topics include the  terminal characteristics and their physical origin, device  design, and device applications."
EE4232,EE,4232,Electronic Applications,3.0,"Fall, Spring",EE3130 or EE3131,"Study of electronic circuits under small- and large-signal  conditions. Typical topics include analysis and design of  power and RF amplifiers, feedback circuits, oscillators,  timing circuits, and wave-shaping circuits."
EE4235,EE,4235,Sensing and Processing in Robotic Applications,3.0,Fall,EE2180 and (ENG1101 or ENG1101T),"Sensing and signal processing for robotics applications in manufacturing and autonomous navigation. Heavy emphasis on developing, testing, and evaluating algorithms. MATLAB programming required."
EE4240,EE,4240,Introduction to MEMS,4.0,Fall,,"Fundamentals of micromachining and microfabrication techniques, including planar thin-film process technologies, photolithographic techniques, deposition and etching techniques, and the other technologies that are central to MEMS fabrication."
EE4250,EE,4250,Modern Communication Systems,3.0,"Fall, Spring, Summer",EE3160 and EE3131 and EE3180,"Introduces the mathematical theory of communication science. Topics include baseband and digital signaling, bandpass signaling, AM and FM systems, bandpass digital systems, and case studies of communication systems."
EE4252,EE,4252,Digital Signal Processing and its Applications,4.0,Fall,EE3160,"Digital signal processing techniques with emphasis on applications. Includes sampling, the Z-transform, digital filters and discrete Fourier transforms. Emphasizes techniques for design and analysis of digital filters. Special topics may include the FFT, windowing techniques, quantization effects, physical limitations, image processing basics, image enhancement, image restoration and image coding."
EE4253,EE,4253,Real Time Signal Processing,3.0,Spring,EE4252,"Practical implementation of digital signal processing  concepts as developed in EE4252.  Emphasis on applications  of DSP to communications, filter design, speech processing,  and radar.  Laboratory provides practical experience in the  design and implementation of DSP solutions."
EE4262,EE,4262,Digital and Non-linear Control,3.0,Spring,EE3261,"Introduction to state space analysis and design (state feedback, observers, and observer feedback); digital control system design and analysis (Z-transforms, difference equations, the discrete-time state model, and digital implementation of controllers); introduction to nonlinear systems (equilibrium states, linearization, phase plane analysis, and describing function analysis); and experiments with physical systems."
EE4271,EE,4271,VLSI Design,4.0,Fall,EE3131 and EE2174,Design of VLSI circuits using CAD tools. Analysis of  physical factors affecting performance.
EE4272,EE,4272,Computer Networks,3.0,"Fall, Spring, Summer",CS3411,"Computer network architectures and protocols; design and implementation of datalink, network, and transport layer functions. Introduction to the Internet protocol suite (TCP, UDP, IP), domain name service and protocols, file sharing protocols, wireless networks, and network security."
EE4295,EE,4295,Introduction to Propulsion Systems for Hybrid Electric Vehicles,3.0,Fall,MEEM2700 or ME2700 or EE2112 or Graduate Status >= 1,"Hybrid electric drive vehicle analysis will be developed and applied to examine the operation, integration, and design of powertrain components. Model based simulation and design is applied to determine vehicle performance measures in comparison to vehicle technical specifications. Power flows, losses, energy usage, and drive quality are examined over drive-cycles via application of these tools."
EE4296,EE,4296,Experimental Studies in Vehicle Electrification,3.0,"Fall, Spring",,"Hands-on course on vehicle electrification. Covers propulsion architecture, vehicle and component testing, fuel consumption, aerodynamics, rolling resistance, engines, batteries, electric machines, and power electronics. Emphasis on system interactions, powertrain modes, and regenerative braking for efficiency."
EE4370,EE,4370,Internet of Things Applications and Design,3.0,"Fall, in odd years",EE4272,"This course consists of the application areas, revolution, and fundamental building blocks (data collection, connectivity, and analysis) in Internet of Things. A hands-on, multi-discipline project-oriented course."
EE4375,EE,4375,Autonomous Vehicle Design,4.0,Spring,(EE3261 or MEEM3750) and EE3280,"Design of autonomous systems focusing on safety. Covers localization, sensor fusion, and motion planning. Emphasizes autonomy capability level, functional safety, and hazard analysis. Students will use autonomous vehicle data sets to develop sensing, perception, and path-planning strategies on simulated autonomous vehicles."
EE4411,EE,4411,Engineering Electromagnetics,3.0,Fall,EE3140,"A mathematically rigorous study of dynamic electromagnetic fields, beginning with Maxwell's equations.  Topics include scalar and vector potentials, waves, and radiation."
EE4490,EE,4490,Laser Systems and Applications,4.0,Fall,EE3140,"Survey of laser types and analysis of common physical and engineering principles, including energy states, inversion, gain, and broadening mechanism from a quantum mechanical perspective. Laser applications and laser properties are explored in the laboratory portion."
EE4723,EE,4723,Network Security,3.0,Spring,EE4272 or CS4461 or SAT4812,"Learn fundamental of cryptography and its application to network security.  Understand network security threats, security services, and countermeasures.  Acquire background knowledge on well known network security protocols. Address open research issues in network security."
EE4737,EE,4737,Embedded System Interfacing,4.0,"Spring, Summer",(CS1111 or CS1142) and (EE3171 or EE3173),"Covers the use of low-power microcontrollers and hardware- dependent C for embedded sensing and control systems. Emphasizes direct interfacing with analog and digital sensors and actuators of several different modalities, to implement end-to-end embedded systems for applications including robotics and wireless sensor nets."
EE4777,EE,4777,Distributed Additive Manufacturing Using Open-Source 3-D Printing,3.0,"Fall, Summer",,This course provides an overview of open-source hardware in theory and practice for an introduction to distributed additive manufacturing using open-source 3-D printing. Each student will build a customized RepRap and will learn all hardware and software for maintaining it.
EE4800,EE,4800,Special Topics in Electrical and Computer Engineering,var,On Demand,,Covers specific topics in electrical engineering.
EE4805,EE,4805,Electrical Engineering Project,var,"Fall, Spring, Summer",,A project in electrical engineering. An individual student  or a group of students complete a mutually- agreed-upon  project in consultation with a faculty member.
EE4901,EE,4901,EE Design Project 1,2.0,Fall,(EE3131 or (EE3280 and EE3261(C))) and EE3901 and (EE3171(C) or EE3173(C)),The first semester of a program of study in which a group of students work on an engineering design project in  consultation with a faculty member. (Senior project ready as defined by major substitutes for prerequisites)
EE4910,EE,4910,EE Design Project 2,2.0,Spring,EE4901,The second semester of a program of study in which a group  of students work on an engineering design project in  consultation with a faculty member. (Senior project ready as defined by major substitutes for prerequisites)
EET1121,EET,1121,Circuits I,3.0,"Fall, Spring",MA1031 or MA1032 or MA1120 or MA1121(C) or MA1160(C) or MA1161(C) or MA1135(C),"Fundamental theory of lumped-element DC and AC electrical circuits. Voltage, current, resistance, energy, and power. DC network analysis and network theorems. Inductance and capacitance. First-order transient analysis for RL and RC circuits. Sinusoidal steady-state analysis of simple AC circuits."
EET1122,EET,1122,Circuits I Lab,1.0,"Fall, Spring",MA1031 or MA1032 or MA1120 or MA1121(C) or MA1160(C) or MA1161(C) or MA1135(C),"Laboratory exercises designed to complement the theory in a first course in lumped-element DC and AC electrical circuits. Electrical laboratory safety. Breadboard construction of electrical circuits. Electronic instrumentation, measurement techniques, and data analysis."
EET1411,EET,1411,Basic Electronics,3.0,Spring,MA1031 or MA1032 or MA1120 or MA1160(C) or MA1161(C) or MA1135(C) or MA1121(C),"Introduction to basic electrical principles and devices including DC and AC circuits, diodes, transistors, operational amplifier ICs, power supply regulation, and elements of communication systems."
EET2121,EET,2121,Circuits II,3.0,Fall,(EET1121 and EET1122) and (MA1160 or MA1161),"Advanced treatment of passive linear electrical circuits. Superposition, Thevenin, Norton, and maximum power transfer theorems. Analysis of AC networks with attention to frequency response, attenuation, resonance, bandwidth, and terminal impedance. Bridge circuits and filters."
EET2122,EET,2122,Circuits II Lab,1.0,Fall,(EET1121 and EET1122) and (MA1160 or MA1161),"Laboratory exercises designed to complement the theory in an advanced course on passive linear DC and AC electrical circuits. Electrical laboratory safety. Measurement of frequency response, attenuation, resonance, bandwidth, and terminal impedance. Measurement accuracy considerations. Circuit simulation tools."
EET2142,EET,2142,Digital Design and Modeling,3.0,Spring,EET2411,Emphasizes the language concepts of digital systems design using VHDL with emphasis on good design practices and writing verification testbenches. Students will gain valuable hands-on experience writing efficient hardware design code and performing simulations using ModelSim.
EET2150,EET,2150,Applied Mathematics for Engineering Technology,3.0,Spring,MA2160(C) and EET1121,"Mathematical theory, mathematical modeling, numerical methods, and algorithms with applications drawn from engineering technology, including electrical, mechanical, mechatronic, and manufacturing engineering technology. Topics covered include complex arithmetic, phasors and complex exponentials, linear algebra, Fourier and Laplace transforms. MATLAB programming is introduced to solve problems encountered in engineering technology with emphasis on modeling of electrical and mechanical systems."
EET2233,EET,2233,Electrical Machinery,4.0,Fall,EET1121 and EET1122,"Fundamental steady-state analysis of DC, AC polyphase and  AC single-phase electrical machines as well as  transformers."
EET2411,EET,2411,Digital Electronics,3.0,Fall,EET1411 and (MA1031(C) or MA1032(C) or MA1120(C) or MA1160(C) or MA1161(C) or MA1135(C) or MA1121(C)),"Introduction to the fundamentals of the digital electronics that make up microprocessors.  Topics include number systems and codes, Boolean algebra, combinational and sequential logic circuits, arithmetic circuits, and digital memory."
EET3131,EET,3131,Sensors and Instrumentation,3.0,Spring,EET1411 or EET2121 or PH2230 or EE2111 or EE3010,"Sensors and instrumentation used in a wide variety of industrial applications. Instrument static characteristics, measurement errors, and calibration. Signal conditioning circuits including instrumentation amplifiers, DC bridges, and filters. Sensors for measuring motion, force, pressure, flow, and temperature, including physical principles and required electronic circuits."
EET3144,EET,3144,Introduction to Industrial Robotics,3.0,"Fall, Summer",,"This course introduces concepts of industrial robotics. Topics on mechanics, electronics, controls, forward and inverse kinematics, classification of end-effectors, programming, and the application of industrial robots are covered. FANUC Roboguide and Mitsubishi RT Toolbox simulation software packages are used to program and simulate industrial production scenarios."
EET3225,EET,3225,Analog Electronic Circuits,4.0,Fall,EET2121,"Analog electronic devices and circuits, including diodes, bipolar junction transistors, and operational amplifiers. Practical applications include amplifiers, rectifiers, and comparators."
EET3281,EET,3281,Electrical Project Development and Troubleshooting,3.0,Spring,EET2121 and EET3225,"Covers soldering, component layout, printed circuit board  artwork, troubleshooting, electrical and environmental  factors in design as well as an overview of the practical  methods used by industry to process projects. The student  designs and fabricates a circuit board and assembles a project."
EET3373,EET,3373,Introduction to Programmable Controllers,3.0,"Fall, Summer",EET1411 or EET2121 or PH2230 or EE2112 or EE3010 or EET2411 or EE2174,The design of discreet sequential controls using programmable logic controllers (PLCs). Relay logic is used to introduce ladder logic and ladder logic is used to  program the PLC. Introduces a structured approach to  sequential control design. Data acquisition is introduced  using BridgeVIEW software.
EET4144,EET,4144,Real-Time Robotics Systems,4.0,Fall,EET1411 or EET2121 or PH2230 or EE2111 or EE3010,"Covers the components of a robot system, safety, concepts of a work-cell system, geometry, path control, automation sensors, programming techniques, hardware, and software. Students taking this course have an opportunity to earn FANUC Industrial Certificate ""FANUC CERT HandlingTool Operations and Programming"", Students must pass safety assessment above 80% and fulfill additional course requirements to be eligible."
EET4147,EET,4147,Industrial Robotic Vision Systems and Advanced Teach Pendant Programming,4.0,"Spring, Summer",EET4144,"Procedures for setting up, teaching, testing, and modifying robot vision systems widely used in industrial automation. Introduces advanced Teach Pendant Programming to develop complex scenarios for integrating robots into industrial cells. Final project must demonstrate proficiency in setting up and programming an advanced robotic vision scenario. Students taking this course have an opportunity to earn FANUC Industrial Certificate ""FANUC CERT 2D iR-Vision"". Students must pass safety assessment above 80% and fulfill additional course requirements to be eligible."
EET4233,EET,4233,Power Electronics and Drive,3.0,Spring,EET2233 and EET3225,"An introduction to power electronics and electrical power converters, covering topics such as speed control for motors using variable voltage drives and variable frequency drives as well as speed profiling. Includes hands-on lab exercises that offer practical experience with drive systems complemented by MATLAB simulations for in-depth analysis."
EET4253,EET,4253,Data Acquisition and Signal Processing,3.0,Fall,EET3131,"Data acquisition hardware and interfaces with different industrial sensors. Software development for data acquisition, signal processing, and real-time actuator control. Hands-on experience through laboratory experiments using commercial hardware and software platforms. Fundamentals of data acquisition systems (DASs), analog-to-digital convertors (ADCs), signal conditioning circuit design, actuators and drivers, and DAS design and integration."
EET4311,EET,4311,Control Systems,3.0,"Fall, Summer",MET2110 and MET2130 and EET2150,"Topics include: Fourier and Laplace transforms, signal comparison techniques and transfer functions. Control techniques addressed will include feedback, stability, Bode and Nyquist diagrams, and PID controllers."
EET4373,EET,4373,Advanced Programmable Controllers,4.0,Spring,EET3373 or EE3373,"Using Allen Bradley Contr Logix and SLC500 programmable controllers, course covers structured  programming, Sequential Function Charts, networking,  proportional integral differential control, data  acquisition and interfacing. The labs will require students  to write and troubleshoot complex PLC programs."
EET4460,EET,4460,Senior Project I,3.0,"Fall, Spring",EET3131,"Capstone course phase I, requiring the application of knowledge gained in lower division courses. Projects are normally team oriented, require weekly progress reports, and culminate with a final report and oral presentation."
EET4480,EET,4480,Senior Project II,3.0,"Fall, Spring",EET4460,"A capstone course requiring the application of knowledge  gained in lower division courses. Projects are normally  team oriented, require weekly progress reports, and  culminate with a final report and oral presentation."
EET4501,EET,4501,Applied Machine Learning,3.0,Spring,SAT4310 or SAT4650 or CS1121,"Introduces the general concepts and algorithms of machine learning (ML) with their implementation and applications to practical problems of modeling, detection, estimation, prediction, and control. Applications include cybersecurity, healthcare, robot vision, remote sensing, automation, and natural language processing."
EET4707,EET,4707,Autonomous Systems,3.0,"Fall, Spring",(EET4311 or EET5311 or MET4801 or MET5801) and (CS1111 or CS1121 or CS1131 or SAT4310 or SAT4650),"The main concepts of autonomous systems will be introduced including motion control, navigation, and intelligent path planning and perception. This is a hands-on project based course. Students will have the opportunity to work with mobile robotics platforms. Having a foundational understanding of programming is recommended to make the most of this course."
EET4996,EET,4996,Special Topics in Electrical Engineering Technology,var,On Demand,,"Selected additional topics of interest in Electrical Engineering Technology based on student and faculty demand and interest. May be a tutorial, seminar, workshop, project, or class study."
EET4997,EET,4997,Independent Study in Electrical Engineering Technology,var,On Demand,,"Independent study of an approved topic under the guidance of an Electrical Engineering Technology faculty member. May be either an academic, design, or research problem/project."
EET4998,EET,4998,Undergraduate Research in Electrical Engineering Technology,var,On Demand,,"An undergraduate research experience in Electrical Engineering Technology. Under the guidance of an Electrical Engineering Technology faculty member, students work on a selected/approved research problem or work directly with faculty on active research projects/grants. May require more than one semester to complete."
